Potencia (0-3 Kw);Cabal (0-35 m3/h);Presión (0-30 m.c.a.);Velocidad (0-3300 rpm)
1.1;8.12;12.25;2226
1.01;24.94;2.44;2846
0.78;9.34;13.76;2780
2.67;7.24;18.79;2725
2.42;4.27;16.01;1936
0.82;16.78;2.23;2017
0.59;2.67;7.98;2902
2.63;30.04;15.98;2823
1.04;31.51;22.74;2360
2.05;18.2;18.71;3285
0.87;9.08;11.61;1856
2.67;30.55;13.86;2192
0.02;26.45;18.89;3110
1.64;23.88;14.72;3238
2.02;20.83;12.92;1655
1.55;14.4;21.58;994
0.33;18.36;4.91;348
1.61;18.98;20.18;904
2.92;1.06;1.21;120
2.82;33.13;24.1;2733
1.43;11.12;8.27;458
2.94;27.63;1.54;2256
1.1;8.21;8.71;35
0.73;34.69;23.75;3073
1.89;6.4;24.36;2139
0.35;30.19;2.6;1380
2.05;18.01;4.56;562
2;23.38;23.95;137
0.33;16.36;26.82;364
2.32;5.87;23.15;1233
2.51;10.44;16.2;1661
2.39;7.87;6.73;3021
1.55;34.63;13.89;3268
2.39;7.87;6.73;3021
1.89;6.4;24.36;2139
0.35;30.19;2.6;1380
2.05;18.01;4.56;562
2;23.38;23.95;137
0.33;16.36;26.82;364
2.32;5.87;23.15;1233
2.51;10.44;16.2;1661
2.39;7.87;6.73;3021
1.55;34.63;13.89;3268
2.39;7.87;6.73;1000
